id,tipo_area,dettaglio,ora_inizio,ora_fine,disposizio,posti,municipio,longitudine,latitudine
2805,carico scarico merci,,08:00:00,19:00:00,linea,3,4,9.2095919,45.4619645
2808,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2132034,45.4725683
2835,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1683776,45.480797
2842,carico scarico merci,hotel,08:00:00,20:00:00,linea,1,8,9.1533386,45.4753687
2844,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1680605,45.4797022
2851,carico scarico merci,merci,08:00:00,20:00:00,linea,3,8,9.1695642,45.4808289
2879,carico scarico merci,,08:00:00,20:00:00,linea,2,8,9.1606486,45.4779133
2884,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.219643,45.4703099
2900,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,8,9.1602014,45.4804806
2962,carico scarico merci,valori,08:00:00,20:00:00,linea,3,6,9.1671019,45.4550531
2982,carico scarico merci,merci,08:00:00,20:00:00,linea,3,6,9.161173,45.453225
3057,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1695229,45.479243
3073,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1705361,45.4797768
3089,carico scarico merci,merci,10:00:00,12:30:00,linea,2,8,9.1708289,45.480607
3118,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2146306,45.4639082
3136,carico scarico merci,merci,08:00:00,20:00:00,linea,1,1,9.1757162,45.4556759
3149,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1740724,45.4558873
3191,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2112993,45.462461
3210,carico scarico merci,merci,08:00:00,20:00:00,linea,1,9,9.1693401,45.4967028
3216,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2112775,45.4635325
3220,carico scarico merci,30 min,08:00:00,20:00:00,linea,2,4,9.2148835,45.4523829
3227,carico scarico merci,merci,08:00:00,20:00:00,linea,1,4,9.215595,45.4520961
3232,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2150982,45.4524929
3238,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1673768,45.4532615
3251,carico scarico merci,merci,08:00:00,20:00:00,linea,4,2,9.2005689,45.4813784
3266,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1672852,45.4543359
3271,carico scarico merci,merci,08:00:00,20:00:00,linea,1,4,9.2120266,45.4633465
3272,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2016564,45.4809685
3274,carico scarico merci,merci,08:00:00,20:00:00,linea,3,9,9.1677901,45.497584
3287,carico scarico merci,merci,08:00:00,20:00:00,linea,3,9,9.166726,45.4980379
3293,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1747394,45.47741
3297,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1664447,45.4556752
3310,carico scarico merci,merci,08:00:00,20:00:00,pettine,2,6,9.1654755,45.4560244
3323,carico scarico merci,merci,08:00:00,20:00:00,pettine,2,6,9.1637429,45.4554604
3342,carico scarico merci,merci,08:00:00,20:00:00,linea,3,1,9.1797151,45.4775075
3351,carico scarico merci,,08:00:00,20:00:00,linea,3,4,9.2140519,45.4545113
3371,carico scarico merci,,08:00:00,20:00:00,linea,1,4,9.2155117,45.4551026
3379,carico scarico merci,merci,08:00:00,20:00:00,linea,2,9,9.1691335,45.4973583
3391,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1762934,45.4772544
3404,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1621003,45.4565749
3509,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2148097,45.4628887
3514,carico scarico merci,,08:00:00,20:00:00,linea,4,4,9.2130956,45.4523377
3548,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2093373,45.4621629
3559,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2097676,45.4629004
3562,carico scarico merci,merci,07:30:00,20:00:00,linea,2,4,9.21032,45.4624176
3566,carico scarico merci,30 min,08:00:00,20:00:00,linea,6,4,9.2102995,45.4632856
3578,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2102792,45.464236
3585,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2092831,45.4646538
3600,carico scarico merci,,08:00:00,20:00:00,linea,2,4,9.2078722,45.461097
3603,carico scarico merci,,08:00:00,20:00:00,linea,2,1,9.2074874,45.4617028
3609,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.2062328,45.4632479
3641,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2087008,45.4654359
3646,carico scarico merci,merci,08:00:00,20:00:00,linea,3,4,9.2074774,45.4651832
3650,carico scarico merci,merci,08:00:00,20:00:00,linea,3,1,9.2069591,45.4652865
3718,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1788921,45.4518977
3722,carico scarico merci,30 min,08:00:00,20:00:00,linea,3,6,9.1673754,45.452549
3739,carico scarico merci,merci,08:00:00,20:00:00,linea,2,7,9.1619448,45.4681931
3780,carico scarico merci,merci,08:00:00,20:00:00,linea,1,6,9.1746741,45.4529513
3798,carico scarico merci,merci,08:00:00,20:00:00,linea,3,6,9.1717021,45.4531738
3821,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1961473,45.4534173
3841,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1704751,45.453651
3855,carico scarico merci,merci,08:00:00,20:00:00,linea,1,6,9.1707216,45.4531362
3871,carico scarico merci,merci,08:00:00,20:00:00,linea,1,1,9.1946622,45.454177
3878,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,2,9.2028822,45.4816621
3880,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.2127276,45.4755905
3913,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2134796,45.475346
3929,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1732202,45.4554494
3974,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2126534,45.4750915
4023,carico scarico merci,merci,08:00:00,20:00:00,linea,3,6,9.1726029,45.4549699
